Timestamp,Block,Tx_hash,From,From_label,To,To_label,Value_in_USD
2023-01-13 20:34:11,16400290,0x1360f8668647d623a9132d1fec566cc3f0cf870b0aa3b77b4ae152cb8b74c9b3,0x7a017e5e9672bc994dcb1a2a27d853c9c629f7c3,Harmony Bridge Hacker 45 SRC,0x4e548fd843a3016dba3656d914772f5c57e8c1d9,Harmony Bridge Hacker 46,200000.0
2023-01-13 20:35:23,16400296,0x4ce57c59791397626df6226fb2c784c05e2aeb89d637135e81c89b95293d9b58,0x4e548fd843a3016dba3656d914772f5c57e8c1d9,Harmony Bridge Hacker 46,0x4785812691a8e2ad00f074398747632d89c0fdd5,Harmony Bridge Hacker 48,124000.0
2023-01-13 20:35:59,16400299,0x23a0892cdc8c47e70afeb1dc27a7e75fb7dac98b3e88c88998a48ff69b1d121a,0x7a017e5e9672bc994dcb1a2a27d853c9c629f7c3,Harmony Bridge Hacker 45 SRC,0x7b2f423695ffe0954801b343ac85d41405151621,Harmony Bridge Hacker 44,200991.72
2023-01-13 20:36:23,16400301,0x16c56fd2389aa9a8c933080f6fc4fecb52aa793c0c2f1332a3b05ca5c5b2e304,0x4e548fd843a3016dba3656d914772f5c57e8c1d9,Harmony Bridge Hacker 46,0xbeb8b4ce1a5a4839a91ae88e14b84d4672418795,Harmony Bridge Hacker 47,75996.8
2023-01-13 20:37:47,16400308,0xdc16b89e57d44177a55898a345c0cb5f3ee0db1d3ff98bb9ceb17d476735b335,0x4785812691a8e2ad00f074398747632d89c0fdd5,Harmony Bridge Hacker 48,0x6a4767ae26751d095f482578e11c646a719c13fe,Harmony Bridge Hacker 241,42000.0
2023-01-13 20:37:59,16400309,0x0c0cbab4cef31da24aa7af1b5c49173d067d1073af8e0c5545e57f5a14f056f2,0x7b2f423695ffe0954801b343ac85d41405151621,Harmony Bridge Hacker 44,0xfccba8b1cce5234f72240194f235f3fb1cafe6d2,Harmony Bridge Hacker 395,100000.0
2023-01-13 20:38:35,16400312,0x79d23b005b385fa4351a6154f9320d9134412a867fc1d11134789ab2681b7155,0x4785812691a8e2ad00f074398747632d89c0fdd5,Harmony Bridge Hacker 48,0x7eedc5ab65765a15cdd3e6bb2035b6cd934d356d,Harmony Bridge Hacker 49,81996.9
2023-01-13 20:39:47,16400318,0x08f30636f7be9e1a09deaea0cd83a94d3b2813ca4a73b9f18471b8dd465c9e10,0xbeb8b4ce1a5a4839a91ae88e14b84d4672418795,Harmony Bridge Hacker 47,0xa0f541092762523040e889479f47a531a8ecbf64,Harmony Bridge Hacker 83,20000.0
2023-01-13 20:39:59,16400319,0x04423f5609d7b087860698b47220fee9af4f3876afec66f9fce42d5572de32ff,0x7b2f423695ffe0954801b343ac85d41405151621,Harmony Bridge Hacker 44,0xae048b1775a5317e4cf48f74464d9c71db93b561,Harmony Bridge Hacker 43,100988.76
2023-01-13 20:40:35,16400322,0xf8ed4f4710c49bff1b10df1e27dc6f434aa923b046fa3e90cd39bfd5c4802b13,0xbeb8b4ce1a5a4839a91ae88e14b84d4672418795,Harmony Bridge Hacker 47,0x01aef6f9981092e25ce3242303dc2ba42de8e923,Harmony Bridge Hacker 172,55993.83
2023-01-13 20:40:59,16400324,0x208e484d2eb751aa302aa2c64fea93e010e9caae18426a3d2a086606f75a28ed,0xae048b1775a5317e4cf48f74464d9c71db93b561,Harmony Bridge Hacker 43,0x8f00ba2844cd042858c670f359f1a9ee529c33ea,Harmony Bridge Hacker 41,60000.0
2023-01-13 20:41:23,16400326,0x280fc9fcfdd25540411edbd5c9e75bb83e9c974b72f35dc68997123b1c30844c,0xfccba8b1cce5234f72240194f235f3fb1cafe6d2,Harmony Bridge Hacker 395,0x508da3b6b5c0cbce5356caee84f4b8c5dc661995,,40000.0
2023-01-13 20:42:35,16400332,0xca8db412dad94f50fd0803d859fd2168db71a2e1b5cd5b063e49f67e36087f23,0xfccba8b1cce5234f72240194f235f3fb1cafe6d2,Harmony Bridge Hacker 395,0x48e49fa337922e6232474841dabb09c96bb08ac1,,59997.22
2023-01-13 20:43:47,16400338,0xf16cf5f13a190dbb1b2ba5cab31270fee58dd14e0982d5b8ff21387f8b3ae7fc,0xae048b1775a5317e4cf48f74464d9c71db93b561,Harmony Bridge Hacker 43,0x9e32be6dd3ab67708fd5c459e49c3447baa36346,Harmony Bridge Hacker 394,40985.97
2023-01-13 20:44:11,16400340,0xd3bbbb084f156758e25a97f732b121d9d087518d9a254a6b94d18b8da72b178b,0x508da3b6b5c0cbce5356caee84f4b8c5dc661995,,0x9e32be6dd3ab67708fd5c459e49c3447baa36346,Harmony Bridge Hacker 394,39998.45
2023-01-13 20:49:59,16400369,0x68334d512578c05bf5f062878cfc677330982e18edbd6154baff288d5d2fa98e,0xa0f541092762523040e889479f47a531a8ecbf64,Harmony Bridge Hacker 83,0xf69f340cf699be3e0169558230d51d45d01d0216,Harmony Bridge Hacker 84,19998.42
2023-01-13 20:51:59,16400379,0xe6565da569ff75ebf8c7997c57d0dfdcfdc2b93dbea64a2082a1b65ed95fb41d,0x9e32be6dd3ab67708fd5c459e49c3447baa36346,Harmony Bridge Hacker 394,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,80982.74
2023-01-13 20:52:11,16400380,0x7205b208764152adb4b8684c95c8854078adb273297b361a9117cbd1411bfb5f,0x7eedc5ab65765a15cdd3e6bb2035b6cd934d356d,Harmony Bridge Hacker 49,0xa919af3e9304007838ab549a247aea5110e313da,Harmony Bridge Hacker 52,20000.0
2023-01-13 20:53:11,16400385,0x22ed1a26385dd69f728b87299a6e006cd1f09d3aa0626e8c01ca7499f87ccc72,0xa919af3e9304007838ab549a247aea5110e313da,Harmony Bridge Hacker 52,0x66bea7a42c7d0d82fcb0149466bd8801123ed08a,Harmony Bridge Hacker 53,19998.15
2023-01-13 20:54:35,16400392,0x0065ea817f4865cb0980988ec13a44756ef5cee4ecb2b6028019394d9b3010c8,0x6a4767ae26751d095f482578e11c646a719c13fe,Harmony Bridge Hacker 241,0x88bfd413a2635ebc794be2f47f1484c8042c6d08,Harmony Bridge Hacker 81,20000.0
2023-01-13 20:54:35,16400392,0xc1f66df2378ed316d1416150707f0caf0d88e3e79693864320ad9e58028bdd17,0x48e49fa337922e6232474841dabb09c96bb08ac1,,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,59995.35
2023-01-13 20:55:35,16400397,0xb94961ca6ee53f9ef2a06af32ad46ab490bfbff3bff213b2fa17fa4a65783ed0,0x6a4767ae26751d095f482578e11c646a719c13fe,Harmony Bridge Hacker 241,0x66b2eff6ce4b491f34febc44ae5a099718f1ace0,Binance_Deposit_0x66b2,21996.78
2023-01-13 20:57:11,16400405,0x61210b42d1c329766c9e1338541754ae4fcbae7c6fabeb47e63faae1492052aa,0x88bfd413a2635ebc794be2f47f1484c8042c6d08,Harmony Bridge Hacker 81,0x7fa9128f778d551236186ab1dfb5aace36af12d9,Harmony Bridge Hacker 80,19998.09
2023-01-13 20:58:23,16400411,0x69ef719a2d026d554d04150ad9448104985b13f17e1847b26b5ab274268d6933,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,0x669cf83336e8b82d32ec5cfb5e6501583129638d,Harmony Bridge Hacker 151,10000.0
2023-01-13 21:15:59,16400498,0xfbed25960742223185aaca9d543d233f9794154847a11b2c8ccedf25b62069aa,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,0x669cf83336e8b82d32ec5cfb5e6501583129638d,Harmony Bridge Hacker 151,20000.0
2023-01-13 21:33:35,16400586,0xa64c1bfb4a39172794d45f5483a744d8ced906498fc64395bf9598e0b0cb65b7,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,0x669cf83336e8b82d32ec5cfb5e6501583129638d,Harmony Bridge Hacker 151,60000.0
2023-01-13 22:04:47,16400742,0x796a90bd6c023eff29b5e546b175e9b2131294afe04bc9c5db6fdaaef9f12a14,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,0x669cf83336e8b82d32ec5cfb5e6501583129638d,Harmony Bridge Hacker 151,40000.0
2023-01-13 22:17:23,16400804,0x0bf1dee4698724bbe265832ef2c125017f7f9e2ec5a4ed051e8dd1d7d58e8067,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,0x669cf83336e8b82d32ec5cfb5e6501583129638d,Harmony Bridge Hacker 151,100000.0
2023-01-14 01:31:35,16401772,0x4dd8c3b9de484239504279f3d64db790b0d9f32b8f026fd9d8583607a8b32cad,0x8b9209b0b79801b2f17844f6e5a937512019d93a,Harmony Bridge Hacker 146,0x669cf83336e8b82d32ec5cfb5e6501583129638d,Harmony Bridge Hacker 151,400000.0
